complex_id,source,rna_hash,length_nt
PAIR:e72cc9a2bcc89ba3fdb0d5a9f8197c7b66d50daedfe58ce23f66873fcf4e9878,NPInter binding-site,1ba43a736e260c03b042133e5dbc67e9340d511363140b22bdf7475990a5c322,46
PAIR:580ac051c9629d081b57998a696dcf5dd739cf391ac8726940c45ec349b6c63d,NPInter binding-site,6ae0417cc08e034052fad3e7616ee1f3985acfb728ef58d6498b20e19fe7d605,10
PAIR:ec1c04c180a355c18df5b869c78b6f3c5b5b4e887e5d17316d084e5838cd6023,NPInter 主表,304c089d86d663467132fdbf5907d8c363e6285cc101ea468e9910bdef7bfabd,308
PAIR:a0d411da5ffded62ba1b106d4de8010d749bf99a8e3cfa25a978b5e6bdb0806f,NPInter binding-site,883ad1f5d6991faab899e4bb88170dca32609ec9044f90b3557685d9b88d048a,35
PAIR:d1c74e386d056e9dc4db7c4881a0711fc750e8254779f66d004ecae1087b0885,NPInter binding-site,d7ac0dc1e1531b088508e26b4075901d1d69f7ae6d6f5820df09a3dd690659a8,35
PAIR:d852750de79590b46cf2fb43e2e83c8e167071b5df025648ef049d1492b81b11,NPInter binding-site,e720e88095372f596ed968248703a505858fc4f18c9f33e65766841def199944,36
PAIR:da726622e684b97d77f4755d67d6d805b09eac9b94c06e842ac865ec476c6e5f,NPInter 主表,9f18a4220981ea87e898d1107b6c2e747f1925619d46a76813e4f0bb50ea7389,434
PAIR:bef7eee211e10a65ec09bb1201665dea8ce87f4090e046b0e45d5cdc79e1f01e,NPInter binding-site,25b83b0de4abdbc999741b0461a6b91849e05080231f7a7861b4bdace6c8db45,46
PAIR:ad2ab07710e84bdf45bab0cff573ec405dd7846cd00b4487a0058abcc1b1865f,NPInter binding-site,e2228a7bb9c1f9e164af001b9812f083363bc7cbd611e307973c8db73dc67899,23
PAIR:12094e1be7cd8f7afbc9a05ca4144a0d9baf2b8cfd237e1cc7890ccd2cb9bf81,NPInter binding-site,402bb8fe4ed357cb4f0aaba43f3f812d8606f901988b853267c298e696f7ca89,51
PAIR:5f7e49780430a79e76e0046ab1ae1ccc8fddf7b4dd62a6fea23276bc7b2fff29,NPInter 主表,ea2c9ef83f62967a65a89a47842658b4086741bc949a7d73f7b703ed7575fad7,250
PAIR:b99a31f6e46682a06c5d514772f5324b753d6aa740640d8b1d61daccf686e137,NPInter binding-site,eb1cb85902e9a2b095891e17011429fdb3ac3fb1d861d40a9e414738e92fbbbd,54
PAIR:343216dd8eeff251f69f91da2df5813f0ca78dacc59c3d1c62bfaf11077a0adc,NPInter 主表,992df601f1d31004bf66589d0e411be74cc4ae6a1a967fd7f8de11f03d2ce195,356
PAIR:78caffbf069016ec1c1765b773d9dd0e3107a3fed2a549e367ddf72d46006861,NPInter 主表,cf2e3770dddea78c0a600a3f6fe81a6e0bb71e749a7a44aa95485f5b206f3ebb,216
PAIR:abd2090914f8b91098550d6e2bf84e5089c2cdda37a24b71669740b3b0b620a2,NPInter 主表,715cd0e3647c453e170c93d7d9b38338cb9f1aa48f476fed3e0ad0521d7da8ed,390
PAIR:1ec04f537c5850fe16a3ff0689ba7ed11b8d565a021d2cef9e662bbbc4146fa1,NPInter binding-site,cb47107b9abd31ba2bda115423903df886ba7b17f62600c3b3c2c751b6ca3205,24
PAIR:51007a14acf66e21df7dec1ab119d900b35cb449ae42afec9d5d35a7bc7306b3,NPInter binding-site,ba30b18eb3b2837c4a58da17f45d753187605d2c26662a05064b964f55a9c8f3,56
PAIR:804ee59d9f6202395da84b524ed39a7c5fcbf88df97c1864ecd87d2024723d76,NPInter binding-site,6251bcaba8981a7de124ddafe0d978996f50bd6c053500f31ad58921dc92073c,39
PAIR:2f4bc224cfca5963bd2849bc4002eac5291ba690372248be727aafa59f81c0e6,NPInter binding-site,306b2368daf3a3cc3a3bb10ae9bcf29e55b82ebb334cd15a5a3b92c27eb213d7,29
PAIR:28323f893ddc733c2eef486d04394862ffe1df40c82d2610a645ba5f2675260e,NPInter 主表,926392b65948c07fb7b5b8bdba2a8b8d1289dc5e7a7ba7e9ec8a6984bd6956d4,400
PAIR:a64f883777483cfc9fa694b0e11ded8a4f56133a1d3cd8dd0e41ebc34ba8c228,NPInter miRNA,34d87a1aad12066dab0d3b0eb85010b01965d8611ceb283b6d22781319579bec,25
PAIR:71ecc35553180f6e592d42a5f1384a698c183eb601797411fa569aac6e82451a,NPInter 主表,1604920e52cbda6875a666a9ec90d4df4b4e7fb008659cf436e2fc7b10241f59,287
PAIR:12f4e05e64c49ada257155f6d5fea7be93df526e91fe6851edbe41bcc224b1b9,NPInter binding-site,3687c9446b68860b2978e8bdbf9f7491515fd54f9a3d92f4a53304d1b5038c34,11
PAIR:0bbcd34079619f2537d3fd860038cdbd78cf30473d881d9a26db7790d6e8307e,NPInter binding-site,592c133b3f38f3be2063a1dc6a7c5cb65438fb28077c02175efbfa0e815bc796,62
PAIR:1a041b96d9f0686ec01567ad433f06058108fa33e0f327d2499f3c8498532161,NPInter binding-site,c8268e5a9d219cf5cc5de419105eaccc7d070445d6e78d0946b0253371ea895c,66
PAIR:75e24c5e58b3c16a4cbfa32f65b9c28973b6f0be91af4741497005a8d13a4a2d,NPInter binding-site,aa2854589afef87a3f5ee18c53e3a43ed9ae9af07631a53aaaad432e3999f844,55
PAIR:4a0fc0c59f4e216fcd0a154b816eff4661414d1a06e6a6c19f1c27f440649b9b,NPInter 主表,5b76d43f528dde3486b9876ea3bde646f2c5196623bce4f212d7c401bce8619e,301
PAIR:05070cd46304e2deac6793795c4827916a72c8fddf67b80419648efba6afe8f5,NPInter binding-site,8f2a1f0c89e86e88bafb953694404d87f6c1cca96934e6dc5f3ab1ace39f5bbf,58
